date,cases,real
2020-01-19,0,1
2020-01-20,2,12
2020-01-21,5,5
2020-01-22,12,19
2020-01-23,27,35
2020-01-24,53,146
2020-01-25,81,251
2020-01-26,115,177
2020-01-27,149,260
2020-01-28,198,372
2020-01-29,230,461
2020-01-30,251,413
2020-01-31,291,480
2020-02-01,333,602
2020-02-02,360,638
2020-02-03,364,633
2020-02-04,374,651
2020-02-05,334,502
2020-02-06,337,477
2020-02-07,337,478
2020-02-08,338,384
2020-02-09,351,374
2020-02-10,336,279
2020-02-11,340,272
2020-02-12,363,455
2020-02-13,323,502
2020-02-14,263,265
2020-02-15,243,80
2020-02-16,199,54
2020-02-17,185,32
2020-02-18,193,26
2020-02-19,200,8
2020-02-20,217,230
2020-02-21,214,31
2020-02-22,183,16
2020-02-23,144,7
2020-02-24,130,6
2020-02-25,119,4
2020-02-26,104,3
2020-02-27,103,1
2020-02-28,92,2
2020-02-29,87,2
2020-03-01,78,2
2020-03-02,80,2
2020-03-03,68,0
2020-03-04,52,1
2020-03-05,45,0
2020-03-06,35,0
2020-03-07,31,0
2020-03-08,25,0
2020-03-09,19,0
2020-03-10,16,0
2020-03-11,12,0
2020-03-12,10,0
2020-03-13,7,0
2020-03-14,5,0
2020-03-15,4,0
2020-03-16,3,1
2020-03-17,2,0
2020-03-18,2,2
2020-03-19,1,1
2020-03-20,1,1
2020-03-21,1,2
2020-03-22,1,1
2020-03-23,1,1
2020-03-24,1,0
2020-03-25,1,2
2020-03-26,0,1
2020-03-27,0,0
2020-03-28,0,1
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,1
2020-04-03,0,0
2020-04-04,0,2
2020-04-05,0,0
2020-04-06,0,0
2020-04-07,0,0
