date,cases,real
2020-01-19,0,1
2020-01-20,2,11
2020-01-21,4,2
2020-01-22,9,8
2020-01-23,21,40
2020-01-24,47,88
2020-01-25,91,264
2020-01-26,152,268
2020-01-27,205,354
2020-01-28,272,494
2020-01-29,322,615
2020-01-30,369,774
2020-01-31,441,720
2020-02-01,492,935
2020-02-02,565,1011
2020-02-03,574,1058
2020-02-04,591,1111
2020-02-05,633,1172
2020-02-06,572,876
2020-02-07,538,769
2020-02-08,588,725
2020-02-09,526,622
2020-02-10,555,469
2020-02-11,579,461
2020-02-12,627,1279
2020-02-13,571,818
2020-02-14,559,480
2020-02-15,508,215
2020-02-16,413,184
2020-02-17,401,184
2020-02-18,352,63
2020-02-19,340,10
2020-02-20,368,71
2020-02-21,334,44
2020-02-22,323,46
2020-02-23,321,45
2020-02-24,329,30
2020-02-25,284,29
2020-02-26,312,25
2020-02-27,296,4
2020-02-28,264,2
2020-02-29,237,5
2020-03-01,209,3
2020-03-02,204,6
2020-03-03,157,1
2020-03-04,131,3
2020-03-05,114,0
2020-03-06,99,0
2020-03-07,87,0
2020-03-08,72,0
2020-03-09,65,0
2020-03-10,55,0
2020-03-11,43,0
2020-03-12,38,0
2020-03-13,36,0
2020-03-14,30,0
2020-03-15,25,0
2020-03-16,23,1
2020-03-17,21,0
2020-03-18,16,1
2020-03-19,11,0
2020-03-20,8,1
2020-03-21,5,0
2020-03-22,3,0
2020-03-23,2,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,0,0
2020-04-07,0,0
