date,cases,real
2020-01-21,0,1
2020-01-22,2,4
2020-01-23,5,12
2020-01-24,9,24
2020-01-25,14,26
2020-01-26,19,37
2020-01-27,23,43
2020-01-28,25,43
2020-01-29,24,36
2020-01-30,29,64
2020-01-31,31,62
2020-02-01,37,47
2020-02-02,43,64
2020-02-03,47,73
2020-02-04,47,81
2020-02-05,48,81
2020-02-06,53,94
2020-02-07,50,66
2020-02-08,49,70
2020-02-09,47,53
2020-02-10,45,60
2020-02-11,42,46
2020-02-12,44,41
2020-02-13,45,58
2020-02-14,40,25
2020-02-15,40,37
2020-02-16,41,19
2020-02-17,40,11
2020-02-18,38,14
2020-02-19,36,8
2020-02-20,30,5
2020-02-21,25,0
2020-02-22,24,2
2020-02-23,22,2
2020-02-24,25,0
2020-02-25,23,1
2020-02-26,23,5
2020-02-27,20,1
2020-02-28,17,0
2020-02-29,15,0
2020-03-01,12,0
2020-03-02,9,0
2020-03-03,8,0
2020-03-04,7,0
2020-03-05,7,1
2020-03-06,5,0
2020-03-07,4,0
2020-03-08,3,0
2020-03-09,3,0
2020-03-10,2,1
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,2,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,1
2020-03-19,1,2
2020-03-20,1,0
2020-03-21,1,1
2020-03-22,1,1
2020-03-23,1,2
2020-03-24,1,1
2020-03-25,1,2
2020-03-26,1,0
2020-03-27,1,4
2020-03-28,1,2
2020-03-29,1,0
2020-03-30,1,1
2020-03-31,1,2
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,0,0
2020-04-04,1,2
2020-04-05,1,0
2020-04-06,1,2
2020-04-07,1,0
